What,Where,When,How_Much
Italiensk Julekoncert på Metronomen.,"Metronomen, Godthåbsvej 33, Frederiksberg","Mon 4 December 2017, 7.30 pm.","(Entrance fee: 70,- ell. GRATIS til DANTE Forenings medlemmer)"
Mestre på Mandage XI.,"Det kgl. Danske Musikkonservatorium, Studiescenen, Rosenørns Allé 22, Frederiksberg C","Mon 4 December 2017, 7.30 pm.",(Free admission)
Danish Music Awards Jazz 2017.,"Bremen Teater, Nyropsgade 39-41, Copenhagen V","Mon 4 December 2017, 7.30 pm.","(Entrance fee: 120,00 DKK)"
Kammermusikforeningen af 1887: Julekoncert med Zapolski Strygerne.,"Christians Kirke, Strandgade 1, Copenhagen K","Mon 4 December 2017, 7.30 pm  - 8.30 pm.",
Julekoncert med Farum Gospel.,"Stavnsholtkirken, Stavnsholtvej 25, Farum","Mon 4 December 2017, 7.30 pm  - 9.30 pm.",
JuleKoncert med OBG.,"Skelgårdskirken, Sindingvej 9, Kastrup","Mon 4 December 2017, 7.30 pm  - 9.30 pm.",
Julekoncert med Joyful Nation.,"Strandmarkskirken, Strandmarksvej 38, Hvidovre","Mon 4 December 2017, 7.30 pm  - 10 pm.",
Jazz på Brøndby Musikskole.,"Brøndby Musikskole, Tornehøj 1, Brøndby","Mon 4 December 2017, 8 pm.",(Free admission)
Monday Juke Joint.,"Mojo Blues bar, Løngangsstræde 21 C, Copenhagen K","Mon 4 December 2017, 9.30 pm.",(Free admission)
Carols by Candlelight - udendørs.,"Sct. Matthæus Kirke, Matthæusgade 31, Copenhagen V","Tues 5 December 2017, 4.30 pm  - 5 pm.",
DKDM's Symfoniorkester spiller Petrusjka.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Tues 5 December 2017, 5 pm.",(Free admission)
Julekoncert med Musikhøjskolen.,"Solbjerg Kirke, Howitzvej 30A, Frederiksberg","Tues 5 December 2017, 6.30 pm.",(Free admission)
100% Jul.,"Købnerkirken, Shetlandsgade 6, Copenhagen S","Tues 5 December 2017, 7 pm.",(Entrance fee: 50 - 100 DKK)
Julekoncert med tre lokale kor.,"Nathanaels Kirke, Holmbladsgade 19, Copenhagen S","Tues 5 December 2017, 7 pm.",(Free admission)
Ann-Mette Elten Julekoncert 2017.,"Strandmarkskirken, Strandmarksvej 38, Hvidovre","Tues 5 December 2017, 7.30 pm.","(Entrance fee: 150,00 DKK)"
Na Leanai.,"Baltoppen Live, Baltorpvej 20, Ballerup","Tues 5 December 2017, 7.30 pm.",(Entrance fee: 140 DKK + evt. gebyr)
Julekoncert med Tritonuskoret.,"Søborg Kirkes sognegård, Frødings Allé 2, Søborg","Tues 5 December 2017, 7.30 pm  - 8.30 pm.",
Julekoncert med Helleruplundkoret.,"Helleruplund Kirke, Bernstorffsvej 73, Hellerup","Tues 5 December 2017, 7.30 pm  - 8.30 pm.",
Koncert m/ Marie Carmen Koppel.,"Taastrup Nykirke, Taastrup Hovedgade 34, Taastrup","Tues 5 December 2017, 7.30 pm  - 9.30 pm.",
Julekoncert med Ann-Mette Elten.,"Strandmarkskirken, Strandmarksvej 38, Hvidovre","Tues 5 December 2017, 7.30 pm  - 9.30 pm.",
Spillemandsdansen spiller op til folkedans på Lindegaarden - Caféaften - Ingen undervisning.,"Kulturstedet Lindegaarden, Peter Lunds Vej 8, Kongens Lyngby","Tues 5 December 2017, 7.30 pm  - 9.45 pm.",(Entrance fee: 100 DKK pr. år)
The Necks (AU).,"Brorsons Kirke, Rantzausgade 49, Copenhagen N","Tues 5 December 2017, 8 pm.",(Entrance fee: 160 DKK)
Tank And The Bangas (US).,"VEGA, Enghavevej 40, Copenhagen V","Tues 5 December 2017, 8 pm.","(Entrance fee: 175,00 DKK)"
Royal Thunder.,"Pumpehuset, Studiestræde 52, Copenhagen V","Tues 5 December 2017, 8 pm.","(Entrance fee: 185,00 DKK)"
Releasekoncert med Baobab Sisters.,"VerdensKulturCentret, Nørre Allé 7, Copenhagen N","Tues 5 December 2017, 8 pm.",
Americana tuesday.,"Mojo Blues bar, Løngangsstræde 21 C, Copenhagen K","Tues 5 December 2017, 9 pm.",(Free admission)
Jeppe Gram Quartet feat. Jakob Dinesen.,"Huset KBH - Stardust, Rådhusstræde 13, 1. tv., Copenhagen K","Tues 5 December 2017, 9 pm  - 11.30 pm.",(Entrance fee: 100 DKK)
Jule sang eftermiddag.,"Kulturhuset Kilden, Nygårds Plads 31, Brøndby","Wed 6 December 2017, 3 pm.",(Free admission)
Onsdagsjazz V. Jacob Fischer - Dagens Gryde.,"Bartof Station, Solbjergvej 3, Frederiksberg","Wed 6 December 2017, 4.30 pm.",(Entrance fee)
Kirkeministerens Julekoncert.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Wed 6 December 2017, 4.30 pm  - 6 pm.",
Jam-session på Lipperts.,"Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup","Wed 6 December 2017, 6 pm.",(Free admission)
Jazz: Dagens Jazz.,"Bibliografen, Bagsværd Hovedgade 116 P, Bagsværd","Wed 6 December 2017, 7 pm.",
Julekoncert med Musikhøjskolen.,"Metronomen, Godthåbsvej 33, Frederiksberg","Wed 6 December 2017, 7 pm.",(Free admission)
Julekoncert med Gospelkoret Faith.,"Christianskirken, Christian X's Allé 122, Kongens Lyngby","Wed 6 December 2017, 7 pm  - 9 pm.",
Trio Miilman-Thomsen-Rehling.,"Galaksen, Bymidten 48, Værløse","Wed 6 December 2017, 7.30 pm.",(Entrance fee: 150 DKK)
Debutkoncert - Einar Kyvik Bauge.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Wed 6 December 2017, 7.30 pm.",(Free admission)
Julekoncert i Frederiksberg Slotskirke.,"Frederiksberg Slotskirke, Roskildevej 28, Frederiksberg","Wed 6 December 2017, 7.30 pm  - 9 pm.",(Free admission)
Julekoncert med Vallensbækkoret.,"Helligtrekongers Kirke, Kirkebakke Allé 11, Vallensbæk","Wed 6 December 2017, 7.30 pm  - 9 pm.",
King krule.,"VEGA, Enghavevej 40, Copenhagen V","Wed 6 December 2017, 8 pm.",
Enter Shikari (UK).,"Amager Bio, Øresundsvej 6, Copenhagen S","Wed 6 December 2017, 8 pm.","(Entrance fee: 245,00 DKK)"
Jacob Fischer 50th Anniversary.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Wed 6 December 2017, 8 pm.",(Entrance fee: 270 DKK + evt. gebyr)
Mads Tolling Quartet hos Paradise Jazz.,"Huset KBH - Stardust, Rådhusstræde 13, 1. tv., Copenhagen K","Wed 6 December 2017, 9 pm.",(Entrance fee)
Mads Tolling Quartet.,"Huset KBH - Stardust, Rådhusstræde 13, 1. tv., Copenhagen K","Wed 6 December 2017, 9 pm  - 11.30 pm.",(Entrance fee: 100 DKK)
Julekoncert med Brøndby Blæserorkester.,"Brøndby Musikskole, Tornehøj 1, Brøndby","Thur 7 December 2017, 5.30 pm.",(Free admission)
Julekoncert med Gladsaxe Musikskole.,"Stengård Kirke, Triumfvej 2, Kongens Lyngby","Thur 7 December 2017, 6 pm  - 9 pm.",
"ALL SWING & BOSSA, Ole Schmidt, tenorsax og Jørgen Schaarup, guitar.","Argentinsk Vinbar Tango y Vinos, Herluf Trolles gade 9, Copenhagen K","Thur 7 December 2017, 7 pm.",
Korkoncert med Doo Wop.,"Anna Kirke, Bjelkes Allé 19-21, Copenhagen N","Thur 7 December 2017, 7 pm  - 8.30 pm.",
J. S. Bach: Juleoratoriet v/Camerata Øresund.,"Brøndby Strand Kirke, Brøndby Strand Centrum 90, Brøndby Strand","Thur 7 December 2017, 7 pm  - 9 pm.",
Violinminiaturer.,"Det kgl. Danske Musikkonservatorium, Studiescenen, Rosenørns Allé 22, Frederiksberg C","Thur 7 December 2017, 7.30 pm.",(Free admission)
Julekoncert med Musikhøjskolen.,"Musikhøjskolen, Smallegade 12, Frederiksberg","Thur 7 December 2017, 7.30 pm.",(Free admission)
Orgelmesterkoncert.,"Grundtvigs Kirke, På Bjerget 14B, Copenhagen NV","Thur 7 December 2017, 7.30 pm  - 9 pm.",
Julekoncert med kirkens julekor og kantori.,"Emdrup Kirke, Ved Vigen 7-9, Copenhagen NV","Thur 7 December 2017, 7.30 pm  - 9.30 pm.",
John Smith (UK).,"Ideal Bar, Enghavevej 40, Copenhagen V","Thur 7 December 2017, 8 pm.","(Entrance fee: 115,00 DKK)"
Pretty Maids + Eclipse (S).,"Amager Bio, Øresundsvej 6, Copenhagen S","Thur 7 December 2017, 8 pm.","(Entrance fee: 270,00 DKK)"
Jacob Fischer 50th Anniversary.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Thur 7 December 2017, 8 pm.",(Entrance fee: 270 DKK + evt. gebyr)
Julekoncert med Helle Thun.,"Frederiksholm Kirke, Louis Pios Gade 10B, Copenhagen SV","Thur 7 December 2017, 8 pm  - 8.45 pm.",
Julekoncert med Virumkoret.,"Frihavnskirken, Willemoesgade 68, Copenhagen Ø","Thur 7 December 2017, 8 pm  - 9 pm.",(Entrance fee: 75 DKK (unge under 12 gratis adgang))
Koncert med Sinne Eeg og Søren Sko.,"Christians Kirke, Strandgade 1, Copenhagen K","Thur 7 December 2017, 8 pm  - 9 pm.",
Julekoncert Daniakoret.,"Hellerup Kirke, Margrethevej 7 A, Hellerup","Thur 7 December 2017, 8 pm  - 9.15 pm.",
Marshall Cecil.,"Loppen, Christiania, Bådsmandsstræde 43, Copenhagen K","Thur 7 December 2017, 8.30 pm.",(Entrance fee: 60 DKK)
Aksglæde.,"VEGA, Enghavevej 40, Copenhagen V","Thur 7 December 2017, 9 pm.","(Entrance fee: 165,00 DKK)"
Peter Marott X-Mas Band.,"Huset KBH - Stardust, Rådhusstræde 13, 1. tv., Copenhagen K","Thur 7 December 2017, 9 pm  - 11.30 pm.",(Entrance fee: 100 DKK)
Blues Jam.,"Mojo Blues bar, Løngangsstræde 21 C, Copenhagen K","Thur 7 December 2017, 10 pm.",(Free admission)
Klokkespilskoncert.,"Vor Frelsers Kirke, Sankt Annæ Gade 29, Copenhagen K","Fri 8 December 2017, 3 pm.",(Free admission)
Dinesen/Kock Hansen Duo.,"Jazzcup, Gothersgade 107, Copenhagen K","Fri 8 December 2017, 3.30 pm.","(Entrance fee: 100,-(80,-))"
December jazz.,"Tårnby Hovedbibliotek, Kamillevej 10, Kastrup","Fri 8 December 2017, 3.30 pm  - 5.30 pm.",(Free admission)
Fyraftenskoncert med Ruben Munk.,"Gentofte Kirke, Gentoftegade 21, Gentofte","Fri 8 December 2017, 4.30 pm  - 5.30 pm.",
Fredagskoncert: Copenhagen Saxophone Quartet.,"Trinitatis Kirke, Landemærket 2, Copenhagen K","Fri 8 December 2017, 4.30 pm  - 5.30 pm.",
Advent II.,"Solbjerg Kirke, Howitzvej 30A, Frederiksberg","Fri 8 December 2017, 5 pm.",(Free admission)
Forte EP release & live show.,"Øen, Mimersgade, Copenhagen N","Fri 8 December 2017, 5 pm  - 1 am.",
Julekoncert med Det Unge Vokalensemble.,"Sct. Matthæus Kirke, Matthæusgade 31, Copenhagen V","Fri 8 December 2017, 5 pm  - 6 pm.",
Adventskoncert med Solbjerg Kirkes Koncertkor.,"Solbjerg Kirke, Howitzvej 30A, Frederiksberg","Fri 8 December 2017, 5 pm  - 6 pm.",
Julemusik med elever fra Frederiksberg Musikhøjskole.,"Frederiksberg Kirke, Pile Allé 1, Frederiksberg C","Fri 8 December 2017, 5 pm  - 6 pm.",
Jule Ramslag Spillemndsbal.,"Metronomen, Godthåbsvej 33, Frederiksberg","Fri 8 December 2017, 6 pm.",(Entrance fee: Kr 30)
Hotstepper med Café Mix X Mas Jam i KU.BE Frederiksberg.,"KU.BE, Dirch Passers Allé 4, Frederiksberg","Fri 8 December 2017, 6 pm  - 9 pm.",(Free admission)
Bandaften julespecial og åbningsreception.,"Kulturzonen, Nøragersmindevej 90, Dragør","Fri 8 December 2017, 7 pm  - 10 pm.",(Free admission)
Händels Messias.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Fri 8 December 2017, 7.30 pm.",(Entrance fee: 175 - 275 DKK)
Mogens Dahls Messias.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Fri 8 December 2017, 7.30 pm  - 10 pm.",
Christmas Carol Sing-Along.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Fri 8 December 2017, 8 pm.",(Free admission)
Norbert Susemihl's Joyful Gumbo.,"Gladsaxe Jazzklub, Telefonfabrikken, Gladsaxe Kulturhus, Telefonvej 8, Søborg","Fri 8 December 2017, 8 pm.",(Entrance fee: 100 DKK. / Medl. 60 DKK.)
Morten Ærøs Venner med Kira Martini.,"Baghuset, Sct. Jacobsvej 1, Ballerup","Fri 8 December 2017, 8 pm.",(Entrance fee: 120/80)
Eluveitie.,"Pumpehuset, Studiestræde 52, Copenhagen V","Fri 8 December 2017, 8 pm.",(Entrance fee)
Mariam The Believer (SE).,"Ideal Bar, Enghavevej 40, Copenhagen V","Fri 8 December 2017, 8 pm.","(Entrance fee: 130,00 DKK)"
J.S. Bachs Juleoratorium. Sokkelund Sangkor.,"Garnisonskirken, Sankt Annæ Plads 4, Copenhagen K","Fri 8 December 2017, 8 pm.","(Entrance fee: 240 (std.), 200 (grp.), 120 (stud.))"
Jacob Fischer 50th Anniversary.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Fri 8 December 2017, 8 pm.",(Entrance fee: 305 DKK + evt. gebyr)
Red Warszawa.,"Templet, Jernbanevej 16, Kongens Lyngby","Fri 8 December 2017, 9 pm.",(Entrance fee)
Eek-a-mouse Live På Loppen!,"Loppen, Christiania, Bådsmandsstræde 43, Copenhagen K","Fri 8 December 2017, 9 pm.",(Entrance fee: 200 DKK)
Keith Hopcroft og Claus Nielsen.,"Værtshuset Pinden, Reventlowsgade 4, Copenhagen V","Fri 8 December 2017, 9 pm  - 1 am.",(Free admission)
Big Creek Slim Band.,"Mojo Blues bar, Løngangsstræde 21 C, Copenhagen K","Fri 8 December 2017, 10 pm.",(Entrance fee: 80)
Lorentz (SE).,"Rust, Guldbergsgade 8, Copenhagen N","Fri 8 December 2017, 11 pm.",
Rust Natklub.,"Rust, Guldbergsgade 8, Copenhagen N","Fri 8 December 2017, 11 pm.",
John Williams' Star Wars- Symfonisk musik for det 21. århundrede.,"Frederiksberg Hovedbibliotek, Falkoner Plads 3, Frederiksberg","Sat 9 December 2017, 11 am.",(Entrance fee: Gratis billetter fra lør. 25/11)
Orgelmatiné.,"Vor Frue Kirke - Københavns Domkirke, Nørregade 8, Copenhagen K","Sat 9 December 2017, 12 am.",(Free admission)
J.S. Bachs Juleoratorium. Sokkelund Sangkor.,"Garnisonskirken, Sankt Annæ Plads 4, Copenhagen K","Sat 9 December 2017, 1 pm.","(Entrance fee: 240 (std.), 200 (grp.), 120 (stud.))"
Julekoncert Østerbro/sydkysten Scenekunst.,"Albertslund Biograferne, Bibliotekstorvet 1-3, Albertslund","Sat 9 December 2017, 1 pm.",
AB/CD juleshow: The snow must go on.,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Sat 9 December 2017, 2 pm  - 3 pm.",(Entrance fee: Voksen: 80 DKK. / Barn: 40 DKK.)
"""Danish JazzQuartet"" & Henrik Bolberg.","Jazzcup, Gothersgade 107, Copenhagen K","Sat 9 December 2017, 2.30 pm.","(Entrance fee: 120,-(100,-))"
Valby Jazzklub.,"Valby Kulturhus, Valgårdsvej 4-8, Valby","Sat 9 December 2017, 2.45 pm  to 17.30.",(Entrance fee: 75/95 + julemenu)
Juniorakademiets julekoncert.,"Det kgl. Danske Musikkonservatorium, Studiescenen, Rosenørns Allé 22, Frederiksberg C","Sat 9 December 2017, 3 pm.",(Free admission)
Liebe Alte Weihnachtslieder.,"Sankt Petri Kirke, Sankt Peders Stræde 2, Copenhagen K","Sat 9 December 2017, 3 pm.","(Entrance fee: DKK. 100,- /børn under 12 år har fri adgang, men skal også have billet. Biletter ved www.billetto.dk og ved indgangen)"
Jul i Vangede 2017.,"Vangede Kirke, Vangedevej 50, Gentofte","Sat 9 December 2017, 3 pm.",(Entrance fee: 85 DKK + evt. gebyr)
Julekoncert i kirken.,"Lyngby Kirke, Lyngby Kirkestræde 1, Kongens Lyngby","Sat 9 December 2017, 3 pm  - 4 pm.",
Messias-koncert.,"Hellerup Kirke, Margrethevej 7 A, Hellerup","Sat 9 December 2017, 3 pm  - 5 pm.",
Händels Messias.,"Flintholm Kirke, Junggreensvej 14, Frederiksberg","Sat 9 December 2017, 3 pm  - 5.30 pm.",
DR's Store Juleshow.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sat 9 December 2017, 3.45 pm  & 7.45 pm.",(Entrance fee: 155 - 550 DKK)
Julekoncert.,"Det Kongelige Bibliotek/Den Sorte Diamant, Søren Kierkegaards Plads 1, Copenhagen K","Sat 9 December 2017, 4 pm.",(Entrance fee: 90 - 165 DKK)
Improvisationsmusik i særklasse.,"Ræven og pindsvinet, Vesterbrogade 176, Frederiksberg","Sat 9 December 2017, 4 pm.","(Entrance fee: 50,-)"
Julekoncert med Svanholm Singers. 4. koncert i Lyngby Taarbæk Musikforening.,"Christianskirken, Christian X's Allé 122, Kongens Lyngby","Sat 9 December 2017, 4 pm.",
Claudius-korets julekoncert.,"Frihavnskirken, Willemoesgade 68, Copenhagen Ø","Sat 9 December 2017, 4 pm.",(Free admission)
Claudius korets Julekoncert.,"Frihavnskirken, Willemoesgade 68, Copenhagen Ø","Sat 9 December 2017, 4 pm.",
Julekoncert.,"Eliaskirken, Vesterbros Torv, Vesterbrogade 49, Copenhagen V","Sat 9 December 2017, 4 pm  - 5 pm.",
Julekoncert med Sydhavns Kantori.,"Frederiksholm Kirke, Louis Pios Gade 10B, Copenhagen SV","Sat 9 December 2017, 4 pm  - 5 pm.",
Gospelkoncert med Lindehøj Gospel Singers.,"Lindehøj Kirke, Tvedvangen 175, Herlev","Sat 9 December 2017, 4 pm  - 5 pm.",
Julekoncert med kirkens motetkor.,"Skovlunde Kirke, Lundebjerggårdsvej 3 A, Skovlunde","Sat 9 December 2017, 4 pm  - 5 pm.",
Koncert med Jazzmust og Touché.,"Sundby Kirke, Amagerbrogade 71, Copenhagen S","Sat 9 December 2017, 4 pm  - 5.45 pm.",
Nordatlantisk julekoncert.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Sat 9 December 2017, 5 pm  - 6 pm.",
Julekoncert Roskilde Scenekunst.,"Albertslund Biograferne, Bibliotekstorvet 1-3, Albertslund","Sat 9 December 2017, 6.30 pm.",
Händels Messias.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Sat 9 December 2017, 7.30 pm.",(Entrance fee: 175 - 275 DKK)
Julekoncert med Virumkoret.,"Sorgenfri Kirke og Sognegård, Hummeltoften 1, Virum","Sat 9 December 2017, 7.30 pm  - 8 pm.",(Entrance fee: 75 DKK (unge under 12 gratis adgang))
Mogens Dahls Messias.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Sat 9 December 2017, 7.30 pm  - 10 pm.",
Vinbar med tapas og live musik.," Cafe Delight ApS, Borups Alle 112, Frederiksberg","Sat 9 December 2017, 8 pm.",(Free admission)
Hymns From Nineveh Julekoncert.,"Christians Kirke, Strandgade 1, Copenhagen K","Sat 9 December 2017, 8 pm.",(Entrance fee)
RåtKøbenhavn #7 + Efterfest.,"Ideal Bar, Enghavevej 40, Copenhagen V","Sat 9 December 2017, 8 pm.","(Entrance fee: 95,00 DKK)"
Koncert: Nicolai Dunger + The Gun.,"Islands Brygge Bibliotek, Njalsgade 15, Copenhagen S","Sat 9 December 2017, 8 pm.",
Jacob Fischer 50th Anniversary:.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Sat 9 December 2017, 8 pm.",(Entrance fee: 305 DKK + evt. gebyr)
Los Cubraz spiller op til dans den 9. december.,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Sat 9 December 2017, 8 pm.",(Entrance fee: 80)
Koncert: Ode to the Wind // Karolina Leedo.,"Sundby Bibliotek, Kvarterhuset, Jemtelandsgade 3, Copenhagen S","Sat 9 December 2017, 8 pm  - 9.30 pm.",
Norbert Susemihl's Joyful Gumbo.,"Kulturhuset Pilegården, Brønshøjvej 17, Brønshøj","Sat 9 December 2017, 8 pm  - 11 pm.",(Entrance fee: 60 DKK.)
Elevatorfører.,"Kulturstationen Vanløse, Frode Jakobsens Plads 4 / Jernbane Allé 38, Vanløse","Sat 9 December 2017, 8.30 pm.",(Entrance fee: 90 DKK. inkl.gebyr)
Dinner.,"Loppen, Christiania, Bådsmandsstræde 43, Copenhagen K","Sat 9 December 2017, 9 pm.",(Entrance fee: 115 DKK)
One Ok Rock.,"Pumpehuset, Studiestræde 52, Copenhagen V","Sat 9 December 2017, 9 pm.",(Entrance fee: 210 DKK)
Banko med Botoft & Big Band.,"Forbrændingen, Vognporten 11, Albertslund","Sat 9 December 2017, 9 pm.",(Entrance fee: 119 DKK + evt. gebyr)
Magtens Korridorer - Udsolgt.,"Amager Bio, Øresundsvej 6, Copenhagen S","Sat 9 December 2017, 9 pm.","(Entrance fee: 285,00 DKK)"
Red Warszawa Ekstrakoncert.,"Templet, Jernbanevej 16, Kongens Lyngby","Sat 9 December 2017, 9 pm.",(Entrance fee)
Navidad Flamenca.,"El Duende - Flamencoforeningen i København, Nørrebrogade 52 C, porten st. th., Copenhagen N","Sat 9 December 2017, 9 pm.",(Entrance fee: 120)
Flavour.,"Rust, Guldbergsgade 8, Copenhagen N","Sat 9 December 2017, 11 pm.",
Søndagsjazz. The Spirit Af New Orleans.,"Herlev Medborgerhus, Herlevgårdsvej 18-20, Herlev","Sun 10 December 2017, 1 pm  - 4 pm.",(Entrance fee: DKK. 50/medlem. Kr. 100/andre)
Wafandes familiekoncert.,"Baltoppen Live, Baltorpvej 20, Ballerup","Sun 10 December 2017, 2 pm.",(Entrance fee: 100 DKK + evt. gebyr)
Hjertefoeningens Julekoncert.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Sun 10 December 2017, 2 pm  - 3 pm.",
Ggc.,"Messiaskirken, Hartmannsvej 46, Charlottenlund","Sun 10 December 2017, 2 pm  - 8 pm.",
Koncert i Solgårdens Café.,"Solgården plejehjem, Virumvej 125, Virum","Sun 10 December 2017, 2.30 pm.",(Free admission)
Julekoncert.,"Sofiekælderen, Overgaden Oven Vandet 32, Copenhagen K","Sun 10 December 2017, 3 pm.","(Entrance fee: 100,-/70,-)"
Det Kgl Danske Musikkonservatoriums Børnekor.,"Vor Frelsers Kirke, Sankt Annæ Gade 29, Copenhagen K","Sun 10 December 2017, 3 pm.",(Free admission)
Svanholm Singers - Julekoncert extraordinaire!,"Svenska Gustafskyrkan, Folke Bernadottes Allé 4, Copenhagen Ø","Sun 10 December 2017, 3 pm.",(Entrance fee: 130 DKK)
Stine Michel Julekoncert.,"Forbrændingen, Vognporten 11, Albertslund","Sun 10 December 2017, 3 pm.",(Entrance fee: 60 DKK + evt. gebyr)
Juletræf med Barbershopsang.,"Metronomen, Godthåbsvej 33, Frederiksberg","Sun 10 December 2017, 3 pm.",(Free admission)
Julekoncert Til Fordel For The Thin Blue Line.,"Albertslund Biograferne, Bibliotekstorvet 1-3, Albertslund","Sun 10 December 2017, 3 pm.",
Julekoncert med Koret Facett i Ansgarkirken.,"Ansgarkirken, Hovedgaden 369, Hedehusene","Sun 10 December 2017, 3 pm.",(Free admission)
Navidad Flamenca.,"Kvarterhuset, Jemtelandsgade 3, Copenhagen S","Sun 10 December 2017, 3 pm.",(Entrance fee: 100)
Koncert med Caroline Henderson.,"Christians Kirke, Strandgade 1, Copenhagen K","Sun 10 December 2017, 3 pm  - 4 pm.",
Vi synger julen ind.,"Brønshøj Kirke, Brønshøj Kirkevej 8, Brønshøj","Sun 10 December 2017, 3 pm  - 4 pm.",
Koncert - Vox Hospitalis.,"Brøndby Strand Kirke, Brøndby Strand Centrum 90, Brøndby Strand","Sun 10 December 2017, 3 pm  - 4 pm.",
Julekoncert.,"Taksigelseskirken, Jagtvej 165, Copenhagen Ø","Sun 10 December 2017, 3 pm  - 4 pm.",
Kakaokoncert - jul med Musikhøjskolen!,"Lindevang Kirke, Hattensens Allé 12, Frederiksberg","Sun 10 December 2017, 3 pm  - 4 pm.",
Händels Messias.,"Virum Kirke, Kirkebakken 10, Virum","Sun 10 December 2017, 3 pm  - 4 pm.",
Julekoncert: Det Danske Drengekor.,"Frederiksberg Kirke, Pile Allé 1, Frederiksberg C","Sun 10 December 2017, 3 pm  - 4 pm.",
Gospel Julekoncert med Glostrup Gospel.,"Østervangkirken, Dommervangen 2, Glostrup","Sun 10 December 2017, 4 pm.",(Entrance fee: 100)
Julekoncert med Canto Novo Koret.,"Frihavnskirken, Willemoesgade 68, Copenhagen Ø","Sun 10 December 2017, 4 pm.",(Free admission)
Gentofte Gospel Choir Julekoncert.,"Messiaskirken, Hartmannsvej 46, Charlottenlund","Sun 10 December 2017, 4 pm.",(Entrance fee: 110 DKK + evt. gebyr)
De ni læsninger.,"Nathanaels Kirke, Holmbladsgade 19, Copenhagen S","Sun 10 December 2017, 4 pm.",(Free admission)
Julen synges ind.,"Skovvejenskirken, Digterparken 1, Ballerup","Sun 10 December 2017, 4 pm  - 5 pm.",
Panumkorets julekoncert.,"Mariendals Kirke, Nitivej 17, Frederiksberg","Sun 10 December 2017, 4 pm  - 5 pm.",
Adventskoncert med Jesuskirkens Kor.,"Jesuskirken, Kirkevænget 5 A, Valby","Sun 10 December 2017, 4 pm  - 5 pm.",
Koncert.,"Værløse Kirke, Højeloft Vænge 20, Værløse","Sun 10 December 2017, 4 pm  - 5 pm.",
Julekoncert med Gospelkoret GOOD HOPE.,"Godthaabskirken, Nyelandsvej 51A, Frederiksberg","Sun 10 December 2017, 4 pm  - 5 pm.",
Hjerteforeningens Julekoncert.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Sun 10 December 2017, 4 pm  - 5 pm.",
Belmontkorets julekoncert.,"Bellahøj og Utterslev kirker, Kirkekontor: Frederikssundsvej 125 A, Brønshøj","Sun 10 December 2017, 4 pm  - 5 pm.",
Farumkoret - Julekoncert.,"Stavnsholtkirken, Stavnsholtvej 25, Farum","Sun 10 December 2017, 4 pm  - 5 pm.",(Free admission)
Koncert med Nordenklang.,"Anna Kirke, Bjelkes Allé 19-21, Copenhagen N","Sun 10 December 2017, 4 pm  - 5.30 pm.",
Alberte Winding Og Andreas Fuglbæk.,"Sankt Jakobs Kirke, Østerbrogade 59, Copenhagen Ø","Sun 10 December 2017, 4.30 pm  - 5.30 pm.",
Copenhagen Festival Ensembles julekoncert.,"Odd Fellow Palæet, Bredgade 28, Copenhagen K","Sun 10 December 2017, 5 pm.",(Entrance fee)
De 9 læsninger.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Sun 10 December 2017, 5 pm  - 6 pm.",
Koncert med Caroline Henderson.,"Christians Kirke, Strandgade 1, Copenhagen K","Sun 10 December 2017, 6 pm  - 7 pm.",
Koncert.,"Hareskov Kirke, Skovbovænget 29, Hareskov, Værløse","Sun 10 December 2017, 7 pm  - 8 pm.",
Julekoncert med Sydhavns Kantori.,"Timotheuskirken, Christen Bergs Allé 5, Valby","Sun 10 December 2017, 7.30 pm  - 8.30 pm.",
Julekoncert.,"Reerslev Kirke, M.W. Gjøesvej 20, Reerslev, Hedehusene","Sun 10 December 2017, 7.30 pm  - 8.30 pm.",
"Julekoncert med GS Mandskor, orkester og solist.","Østervangkirken, Dommervangen 2, Glostrup","Sun 10 December 2017, 8 pm.",(Free admission)
