What,Where,When,How_Much
Lunchkoncert med cellosuiter af J.S. Bach.,"Frederiksberg Kirke, Pile Allé 1, Frederiksberg C","Thur 23 November 2017, 1 pm  - 2 pm.",
Frederiksberg GameLAB - bibliotekets brætspilsklub.,"Biblioteket Danasvej, Danasvej 30 B, Frederiksberg C","Thur 23 November 2017, 4 pm.",(Entrance fee: Gratis billetter)
The Spirit of New Orleans Koncert - Fru Jensen's Selskabelige Forening.,"Fritidscentret Hedehuset, Hovedgaden 371, Hedehusene","Thur 23 November 2017, 6 pm.",(Entrance fee: 195 DKK.)
Anders Blichfeldt solo.,"Restaurant Beghuset, Strandgade 14, Dragør","Thur 23 November 2017, 6 pm.",
TestmannJazz.,"Café Sundet, Svaneknoppen 2, Copenhagen Ø","Thur 23 November 2017, 7 pm.",(Free admission)
2 klaverer - 4 hænder.,"Husum Kirke, Korsager Allé 14, Brønshøj","Thur 23 November 2017, 7 pm  - 10 pm.",
ØEN præsenterer: Nyctophilia.,"Øen, Mimersgade, Copenhagen N","Thur 23 November 2017, 7 pm  - 10 pm.",
Afkham & Aimard.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 23 November 2017, 7.30 pm.",(Entrance fee: 85 - 497 DKK)
Guitaristen Gery Ryan.,"Det kgl. Danske Musikkonservatorium, Studiescenen, Rosenørns Allé 22, Frederiksberg C","Thur 23 November 2017, 7.30 pm.",(Entrance fee: Billetsalg i indgangen)
Koncert for trompet og orgel.,"Sct. Thomas kirke, Rolighedsvej 16, Frederiksberg C","Thur 23 November 2017, 7.30 pm  - 8.30 pm.",
Efterårshøjskolen: Jørgen Schou-Pedersen & ensemblet Anello samt Davids kirkes renæssancetrio:.,"Davidskirken, Koldinggade 11, Copenhagen Ø","Thur 23 November 2017, 7.30 pm  - 9.30 pm.",
"Benny Andersen, Poul & Halfdan.","Telefonfabrikken - Gladsaxe Kulturhus, Telefonvej 8, Søborg","Thur 23 November 2017, 7.30 pm  - 10 pm.",(Entrance fee: Medlemmer gratis gæster 50 DKK.)
Dialogkoncert om følelser og forandring - musik på grænsen mellem klassisk og jazz.,"Menighedshus ved Højdevangskirke, Irlandsvej 47, Copenhagen S","Thur 23 November 2017, 7 pm :30.",(Free admission)
Klarinet i lange baner.,"Musikhøjskolen, Smallegade 12, Frederiksberg","Thur 23 November 2017, 8 pm.",(Free admission)
The Minds Of 99 - Udsolgt.,"VEGA, Enghavevej 40, Copenhagen V","Thur 23 November 2017, 8 pm.","(Entrance fee: 270,00 DKK)"
Tarawangsawelas + Karinding Attack (ID).,"Global Copenhagen, Nørre Allé 7, Copenhagen N","Thur 23 November 2017, 8 pm.",(Entrance fee: 120 DKK)
Christina von Bülow m.fl.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Thur 23 November 2017, 8 pm.",(Entrance fee: 275 DKK + evt. gebyr)
Chimbos Revival.,"Zeppelin Rockbar & Venue, Vesterbros Torv, Vesterbrogade 45, Copenhagen V","Thur 23 November 2017, 8 pm.",(Entrance fee: 120 DKK)
"Johnny Madsen, Knud Møller & Henrik From (Akustisk) - Udsolgt!","Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Thur 23 November 2017, 8 pm.","(Entrance fee: 295,00 DKK)"
Bål & Brand + Rovdrift - folk/rock.,"Bartof Station, Solbjergvej 3, Frederiksberg","Thur 23 November 2017, 8 pm.",(Entrance fee)
Storbyen: Det urbane liv i ord og musik.,"Mellemrummet - Nørrebros Fairtrade Café, Ravnsborggade 11, Copenhagen N","Thur 23 November 2017, 8 pm.",
Koncert: El: Bwoy De Bhajan 8 Shield 8 Pearlcorder 8 Verdin 8 Abalone.,"Islands Brygge Bibliotek, Njalsgade 15, Copenhagen S","Thur 23 November 2017, 8 pm.",
Slade (uk) + Support - Få Billetter.,"Amager Bio, Øresundsvej 6, Copenhagen S","Thur 23 November 2017, 8 pm.","(Entrance fee: 315,00 DKK)"
Rafael Molinas Passion Flamenca.,"Karens Minde Kulturhus, Wagnersvej 19, Copenhagen SV","Thur 23 November 2017, 8 pm.",(Entrance fee: 60 DKK.)
Fool & Rosegold - Få Billetter.,"Ideal Bar, Enghavevej 40, Copenhagen V","Thur 23 November 2017, 8 pm.","(Entrance fee: 60,00 DKK)"
Asfaltens blomsterbørn.,"Operaen, Christiania, Bådsmandsstræde 43, Copenhagen K","Thur 23 November 2017, 8 pm  - 11 pm.",(Free admission)
Penny Police + Death Machines.,"Kulturstationen Vanløse, Frode Jakobsens Plads 4 / Jernbane Allé 38, Vanløse","Thur 23 November 2017, 8.30 pm.",(Entrance fee: 70 DKK. innkl. gebyr)
Lord Vicar og Hadron på Loppen.,"Loppen, Christiania, Bådsmandsstræde 43, Copenhagen K","Thur 23 November 2017, 8.30 pm.",(Entrance fee: 80 DKK)
Cezinando (NO).,"VEGA, Enghavevej 40, Copenhagen V","Thur 23 November 2017, 9 pm.","(Entrance fee: 145,00 DKK)"
Spitanger (dk) + Support: Tba.,"Huset KBH Musikcaféen, Rådhusstræde 13, 3. sal, Copenhagen K","Thur 23 November 2017, 9 pm.","(Entrance fee: 75,00 DKK)"
Lone Selmer / Dagslys.,"Huset KBH - Stardust, Rådhusstræde 13, 1. tv., Copenhagen K","Thur 23 November 2017, 9 pm  - 11.30 pm.",(Entrance fee: 112 DKK + gebyr)
Blues Jam.,"Mojo Blues bar, Løngangsstræde 21 C, Copenhagen K","Thur 23 November 2017, 10 pm.",(Free admission)
Klokkespilskoncert.,"Vor Frelsers Kirke, Sankt Annæ Gade 29, Copenhagen K","Fri 24 November 2017, 3 pm.",(Free admission)
"Kjeld Lauritsen ""Hammond Organ 7"".","Jazzcup, Gothersgade 107, Copenhagen K","Fri 24 November 2017, 3.30 pm.","(Entrance fee: 120,-(100,-))"
